SampleID	OTUcts	OTUctsnormed	Normrich	Normshann	Normeven	Scaledrich	Obs_richness	Shannon	Evenness	Samp_date	Individual_animal	sample_ID	Cow_enviro	Parity	Parity_1	DIM	DIM_1	Fecal	Hygiene_day1	BCS_day1	Temp	ShNS_day_1	Sh_NSh	Day	Farm	Pathotype	Path_1.0	Path_1.1	Pathotype_1	Pathotype_2	Pattern_1.0	Pattern_1.1	Pattern_1.2	Pattern_1	Treatment	Disease	Milk_lbs	Week_avglbs	Pattern_2	Evnev_1.0	Evnev_1.1	EvNev_1	EvNev_2	DPDO_1	DPDO_2	DPvNS	Description
45A	22476	14974.01732	2986	6.14170741	0.767551283	-0.983631269	2986	6.14170741	0.767551283	7/14/14	45	A	LL11780	3	3	2	1	3	1	2	38.1	Sh	Sh	1	1	1	1	0	0	0	0	1	0	1	0	0	80	83	1	0	1	1	1	2	4	2	106
45B	13914	15704.28894	1198	5.414527417	0.763856542	-2.460007101	1198	5.414527417	0.763856542	7/15/14	45	B	LL11780	3	3	3	1	3	1	2	38.5	Sh	Sh	2	1	1	1	0	0	0	0	1	0	1	0	0	77	83	1	0	1	1	1	2	4	2	107
45C	27595	14585.09514	3654	6.148370565	0.749474286	-0.432054616	3654	6.148370565	0.749474286	7/16/14	45	C	LL11780	3	3	4	1	3	1	2	38.5	Sh	Sh	3	1	1	1	0	0	0	0	1	0	1	0	0	91	83	1	0	1	1	1	0	0	1	108
45D	21320	10564.91576	3581	6.387289538	0.780518072	-0.492331706	3581	6.387289538	0.780518072	7/17/14	45	D	LL11780	3	3	5	1	3	1	2	38.5	Sh	Sh	4	1	3	0	1	1	1	0	1	0	1	0	0	83	83	1	0	1	1	1	1	1	2	109
45E	49972	9455.439924	5722	6.410639266	0.74093674	1.27552101	5722	6.410639266	0.74093674	7/18/14	45	E	LL11780	3	3	6	1	3	1	2	38.5	Sh	NS	5	1	0	1	0	0	0	0	1	0	1	0	0	84	83	1	0	1	1	1	2	4	2	110
48A	29295	8317.717206	3820	6.248972079	0.757634306	-0.294986167	3820	6.248972079	0.757634306	7/14/14	48	A	LL12484	2	2	3	1	2	2	3	38.6	NS	NS	1	1	0	1	0	0	0	0	0	1	2	2	1	95	93.6	3	0	1	1	1	0	0	1	176
48B	23496	15109.96785	3099	5.98736598	0.744805206	-0.890325638	3099	5.98736598	0.744805206	7/15/14	48	B	LL12484	2	2	4	1	3	2	3	38.4	NS	Sh	2	1	3	0	1	1	1	0	0	1	2	2	1	86	93.6	3	0	1	1	1	1	1	2	177
48C	52612	11311.97592	5096	6.077918442	0.71201594	0.758624326	5096	6.077918442	0.71201594	7/16/14	48	C	LL12484	2	2	5	1	3	2	3	38.8	NS	Sh	3	1	3	0	1	1	1	0	0	1	2	2	1	92	93.6	3	0	1	1	1	1	1	2	178
48D	12737	10989.64625	2009	5.791183371	0.761457541	-1.79035341	2009	5.791183371	0.761457541	7/17/14	48	D	LL12484	2	2	6	1	3	2	3	38.6	NS	Sh	4	1	3	0	1	1	1	0	0	1	2	2	1	97	93.6	3	0	1	1	1	1	1	2	179
48E	31694	9969.801824	3474	5.98799545	0.734447437	-0.580683056	3474	5.98799545	0.734447437	7/18/14	48	E	LL12484	2	2	7	1	3	2	3	38.9	NS	Sh	5	1	3	0	1	1	1	0	0	1	2	2	1	98	93.6	3	0	1	1	1	1	1	2	180
